airport_ident,length_ft,width_ft,he_latitude_deg,he_longitude_deg
00A,80.0,80.0,,
00AK,2500.0,70.0,,
00AL,2300.0,200.0,,
00AN,4517.0,60.0,,
00AR,40.0,40.0,,
00AS,1450.0,60.0,,
00AZ,1700.0,60.0,,
00CA,6000.0,80.0,35.36029815673828,-116.87799835205078
00CO,3900.0,20.0,,
00FA,3200.0,100.0,,
00FD,74.0,74.0,,
00FL,4090.0,100.0,,
00GA,2600.0,80.0,,
00GE,125.0,95.0,,
00HI,1155.0,45.0,,
00ID,3300.0,40.0,,
00ID,2700.0,40.0,,
00IL,2500.0,75.0,,
00IN,40.0,40.0,,
00IS,1600.0,70.0,,
00KS,2600.0,85.0,,
00KY,2100.0,100.0,,
00LA,40.0,40.0,,
00LL,25.0,25.0,,
00LS,2600.0,100.0,,
00MD,1700.0,75.0,,
00MI,100.0,100.0,,
00MN,2949.0,200.0,,
00MO,2400.0,25.0,,
00N,1900.0,150.0,,
00NC,2650.0,36.0,,
00NJ,50.0,50.0,,
00NR,50.0,50.0,,
00NY,2350.0,80.0,,
00OH,2695.0,90.0,,
00OI,42.0,42.0,,
00OK,2200.0,60.0,,
00PA,80.0,80.0,,
00PN,500.0,75.0,,
00PS,3100.0,100.0,,
00S,2600.0,90.0,,
00SC,2900.0,100.0,,
00SD,2400.0,50.0,,
00TA,85.0,85.0,,
00TE,48.0,48.0,,
00TN,1800.0,150.0,,
00TS,1200.0,45.0,,
00TT,2429.0,80.0,,
00TX,50.0,50.0,,
00VA,1300.0,100.0,,
00VI,1500.0,50.0,,
00W,3400.0,50.0,,
00WA,1105.0,70.0,,
00WI,1000.0,60.0,44.30440139770508,-89.04820251464844
00WN,1440.0,50.0,,
00WV,1800.0,100.0,,
00XS,1475.0,75.0,,
01A,1176.0,50.0,62.941297,-152.266286
01AK,40.0,40.0,,
01AL,2500.0,160.0,,
01AR,55.0,55.0,,
01AZ,210.0,150.0,,
01C,2517.0,120.0,43.34170150756836,-85.77030181884766
01CA,20.0,20.0,,
01CL,3100.0,50.0,,
01CN,60.0,60.0,,
01CO,125.0,40.0,,
01CT,70.0,70.0,,
01FA,2000.0,100.0,,
01FA,1500.0,100.0,,
01FD,110.0,110.0,,
01FL,3000.0,50.0,,
01GA,65.0,65.0,,
01GE,2560.0,75.0,,
01IA,2575.0,50.0,,
01ID,2894.0,100.0,42.60369873046875,-112.03099822998048
01IL,416.0,216.0,,
01IN,45.0,45.0,,
01IS,1300.0,100.0,,
01J,3365.0,125.0,30.681699752807617,-81.90499877929688
01K,2460.0,110.0,,
01KS,2400.0,100.0,,
01KY,40.0,40.0,,
01LA,2000.0,60.0,,
01LL,1600.0,70.0,,
01LS,1800.0,150.0,30.72249984741211,-91.07450103759766
01MA,32.0,32.0,,
01MD,3500.0,100.0,,
01ME,5000.0,500.0,,
01ME,5000.0,500.0,,
01MI,50.0,50.0,,
01MN,10000.0,600.0,,
01MN,10000.0,600.0,,
01MO,37.0,37.0,,
01MT,5000.0,70.0,48.78329849243164,-114.875
01MU,54.0,54.0,,
01NC,3200.0,75.0,,
01NC,2000.0,75.0,,
01NE,2750.0,50.0,,
01NH,600.0,50.0,,
01NJ,125.0,80.0,,
01NM,2700.0,70.0,,
01NM,2000.0,70.0,,
01NR,50.0,50.0,,
01NV,2000.0,60.0,,
01NY,100.0,75.0,,
01OH,100.0,100.0,,
01OI,30.0,30.0,,
01OK,2640.0,25.0,,
01OL,1600.0,75.0,34.3930549621582,-96.68888854980467
01OR,4800.0,60.0,,
01PA,60.0,60.0,,
01PN,1700.0,100.0,,
01PS,1200.0,120.0,,
01SC,2580.0,118.0,,
01TA,30.0,30.0,,
01TE,2433.0,55.0,,
01TN,2700.0,100.0,,
01TX,500.0,60.0,,
01TX,700.0,60.0,,
01U,2700.0,75.0,,
01U,3400.0,80.0,,
01UT,3200.0,40.0,,
01VA,1500.0,60.0,,
01WA,36.0,36.0,,
01WI,2300.0,120.0,44.01179885864258,-90.38919830322266
01WN,40.0,40.0,,
01WT,28.0,28.0,,
01WY,4360.0,75.0,,
01WY,2600.0,65.0,,
01XA,50.0,50.0,,
01XS,50.0,50.0,,
02AK,2200.0,45.0,,
02AL,2000.0,150.0,,
02AN,1800.0,100.0,,
02AR,4400.0,45.0,,
02AZ,4500.0,80.0,,
02CA,55.0,55.0,,
02CD,2500.0,100.0,,
02CL,3000.0,60.0,,
02CO,2670.0,50.0,,
02CT,50.0,50.0,,
02FA,2485.0,150.0,,
02FD,3443.0,150.0,30.95709991455078,-86.63490295410156
02FL,1800.0,100.0,,
02GA,1200.0,100.0,,
02GA,1500.0,100.0,,
02GE,3400.0,100.0,,
02HI,100.0,100.0,,
02IA,50.0,50.0,,
02ID,2000.0,100.0,,
02II,1100.0,100.0,,
02IN,1020.0,150.0,,
02IS,40.0,40.0,,
02KS,1650.0,100.0,,
02KS,1950.0,150.0,,
02KY,100.0,100.0,,
02LA,20.0,20.0,,
02LS,24.0,24.0,,
02MA,50.0,50.0,,
02MD,2000.0,75.0,,
02ME,2400.0,60.0,,
02MI,2000.0,100.0,,
02MN,1897.0,192.0,,
02MN,2500.0,192.0,,
02MN,2553.0,82.0,,
02MO,2200.0,50.0,,
02MS,2150.0,60.0,,
02MU,1900.0,125.0,,
02NC,100.0,100.0,,
02NH,3000.0,300.0,,
02NH,20.0,20.0,,
02NM,4247.0,30.0,,
02NR,50.0,50.0,,
02NV,2200.0,50.0,,
02NY,25.0,25.0,,
02OH,2750.0,50.0,,
02OI,1500.0,75.0,,
02OR,2000.0,30.0,,
02P,100.0,100.0,,
02PA,60.0,50.0,,
02PN,40.0,40.0,,
02PR,2000.0,50.0,,
02PS,500.0,100.0,,
02SC,3600.0,150.0,,
02T,4050.0,60.0,,
02TA,32.0,32.0,,
02TE,40.0,40.0,,
02TN,1600.0,120.0,,
02TX,4800.0,80.0,,
02UT,4000.0,30.0,,
02UT,4000.0,50.0,,
02VA,3000.0,80.0,,
02WA,2650.0,50.0,,
02WI,2200.0,60.0,,
02WN,1500.0,30.0,,
02XA,1950.0,50.0,,
02XS,1500.0,40.0,,
02XS,1320.0,40.0,,
03AK,1000.0,70.0,,
03AK,6000.0,500.0,,
03AK,2600.0,500.0,,
03AL,50.0,50.0,,
03AR,117.0,117.0,,
03AZ,3600.0,60.0,,
03CA,40.0,40.0,,
03CO,4000.0,30.0,40.20830154418945,-104.73999786376952
03FA,2000.0,200.0,,
03FD,2000.0,50.0,,
03FL,50.0,40.0,,
03GA,1990.0,65.0,,
03GA,1955.0,60.0,,
03I,2375.0,90.0,,
03IA,2000.0,150.0,,
03ID,1800.0,100.0,,
03II,1000.0,200.0,,
03IL,2600.0,105.0,,
03IS,40.0,40.0,,
03KS,25.0,25.0,,
03KY,2300.0,80.0,,
03LA,60.0,60.0,,
03LS,40.0,40.0,,
03M,3800.0,200.0,,
03MA,1600.0,60.0,,
03MD,50.0,50.0,,
03ME,2400.0,90.0,,
03MI,20.0,20.0,,
03MN,1940.0,75.0,,
03MO,2200.0,50.0,,
03MS,60.0,60.0,,
03MU,2400.0,24.0,,
03N,2400.0,50.0,,
03NC,2750.0,40.0,,
03ND,2600.0,50.0,,
03NE,2200.0,200.0,,
03NH,12.0,80.0,,
03NV,3200.0,30.0,,
03NY,2000.0,75.0,,
03OH,2100.0,60.0,,
03OH,2200.0,60.0,,
03OI,60.0,60.0,,
03OK,1200.0,50.0,,
03OL,1900.0,30.0,,
03OR,2950.0,60.0,,
03PA,130.0,80.0,,
03PN,100.0,100.0,,
03PR,2926.0,65.0,,
03PS,675.0,90.0,,
03PS,925.0,90.0,,
03PS,1130.0,90.0,,
03S,2115.0,100.0,,
03SC,40.0,40.0,,
03TE,3500.0,100.0,,
03TN,20.0,20.0,,
03TS,90.0,90.0,,
03TT,3000.0,50.0,,
03TX,150.0,150.0,,
03UT,5000.0,35.0,,
03UT,3250.0,35.0,,
03WA,2800.0,60.0,,
03WI,1500.0,60.0,,
03WN,2000.0,70.0,,
03XA,54.0,54.0,,
03XS,3200.0,50.0,,
03XS,1600.0,50.0,,
04AA,1300.0,100.0,,
04AA,825.0,68.0,,
04AL,100.0,100.0,,
04AR,40.0,40.0,,
04CA,8000.0,150.0,34.5667,-117.6575
04CL,1900.0,100.0,,
04CT,50.0,100.0,,
04F,2400.0,20.0,,
04FA,2620.0,212.0,,
04FL,3000.0,100.0,,
04I,2382.0,120.0,39.91310119628906,-83.18470001220703
04IA,2310.0,84.0,,
04ID,3000.0,25.0,,
04II,1372.0,72.0,,
04IL,1700.0,70.0,,
04IN,4000.0,1000.0,,
04IS,2200.0,150.0,,
04KS,400.0,60.0,,
04KY,1700.0,30.0,,
04LA,40.0,40.0,,
04LL,3700.0,70.0,,
04LS,60.0,60.0,,
04MA,2100.0,300.0,,
04MD,50.0,50.0,,
04ME,1950.0,120.0,,
04MI,2000.0,100.0,,
04MN,2500.0,150.0,,
04MO,2600.0,150.0,,
04MS,3400.0,100.0,32.934898376464844,-90.8373031616211
04MT,2100.0,100.0,,
04MT,1900.0,100.0,,
04NC,91.0,35.0,,
04NE,2500.0,100.0,,
04NJ,3500.0,50.0,,
04NR,78.0,36.0,,
04NV,3240.0,45.0,35.75920104980469,-115.66200256347656
04NY,5200.0,50.0,,
04OG,50.0,100.0,,
04OH,2200.0,70.0,,
